lat,long,id,weight,price
14.60316,120.99233,O000,0,0
14.619273,120.990139,A001,1521,16233
14.618908,120.989724,A002,828,8456
14.617894,120.99072,A003,1221,20122
14.617035,120.991562,A004,1266,18998
14.617039,120.991024,A005,1317,22175
14.616114,120.990868,A006,1512,25844
14.616287,120.989723,A007,597,7592
14.614891,120.99008,A008,877,11328
14.613943,120.990937,A009,1808,27616
14.613594,120.99026,A010,663,9348
14.604853,120.991562,A011,1124,17281
14.605131,120.991864,A012,1907,29745
14.605227,120.991989,A013,1822,28372
14.605365,120.992139,A014,1432,22217
14.605321,120.991811,A015,1865,2936
14.605473,120.991907,A016,642,8971
14.605642,120.992099,A017,1901,29688
14.605509,120.99162,A018,1538,23802
14.605791,120.991949,A019,688,9855
14.606119,120.992046,A020,1323,22576
14.60867272,120.9963448,B001,552,6614
14.60861372,120.9964972,B002,891,11989
14.60796474,120.9972517,B003,1199,19821
14.60733789,120.9975032,B004,1876,29765
14.6067774,120.997084,B005,1245,1826
14.60603601,120.9972378,B006,527,6933
14.60513219,120.9961761,B007,1203,19997
14.60528669,120.9957849,B008,1058,14524
14.60917231,120.9968626,B009,864,10674
14.60924184,120.9973815,B010,1265,18992
14.60799041,120.9985869,B011,589,7807
14.60710977,120.9995768,B012,1341,23095
14.6070557,121.000862,B013,896,12286
14.60656903,121.0009578,B014,1473,23752
14.60537166,121.0006784,B015,1902,29739
14.60436742,121.0008062,B016,654,9268
14.60459144,121.0012612,B017,1215,20215
14.60629866,120.9936694,B018,705,944
14.60536394,120.9928791,B019,1220,20334
14.60616733,120.9927354,B020,1678,27128
